Intervention_request	Intervention_Cui	Intervention_Concept	Intervention_CAT	Timestamp	Ignore	comment
therapeutic radiology procedure	C1522449	Therapeutic radiology procedure	PROC|Procedures|T061|Therapeutic or Preventive Procedure	2019	0	
saline	C0036082	Saline Solution	CHEM|Chemicals & Drugs|T197|Inorganic Chemical%CHEM|Chemicals & Drugs|T121|Pharmacologic Substance	2019	0	
intensity-modulated therapeutic radiology procedure	C1522449	Therapeutic radiology procedure	PROC|Procedures|T061|Therapeutic or Preventive Procedure	2019	0	
3-dimensional conformal therapeutic radiology procedure	C1522449	Therapeutic radiology procedure	PROC|Procedures|T061|Therapeutic or Preventive Procedure	2019	0	
physical activity	C0026606	Physical activity	ACTI|Activities & Behaviors|T056|Daily or Recreational Activity	2019	0	
exercise training	C1522704	Exercise Pain Management	PROC|Procedures|T061|Therapeutic or Preventive Procedure	2019	0	
internal therapeutic radiology procedure	C1522449	Therapeutic radiology procedure	PROC|Procedures|T061|Therapeutic or Preventive Procedure	2019	0	
hypofractionated therapeutic radiology procedure	C1522449	Therapeutic radiology procedure	PROC|Procedures|T061|Therapeutic or Preventive Procedure	2019	0	
proton beam therapeutic radiology procedure	C1522449	Therapeutic radiology procedure	PROC|Procedures|T061|Therapeutic or Preventive Procedure	2019	0	
intensity modulated therapeutic radiology procedure	C1522449	Therapeutic radiology procedure	PROC|Procedures|T061|Therapeutic or Preventive Procedure	2019	0	
physical exercise	C1522704	Exercise Pain Management	PROC|Procedures|T061|Therapeutic or Preventive Procedure	2019	0	
mindfulness-based stress reduction	C3542996	Mindfulness	PHYS|Physiology|T041|Mental Process	2019	0	
walking	C0080331	Walking (activity)	ACTI|Activities & Behaviors|T056|Daily or Recreational Activity	2019	0	
mindfulness	C3542996	Mindfulness	PHYS|Physiology|T041|Mental Process	2019	0	
mesenchymal stem cells	C1257990	Mesenchymal Stem Cell Transplantation	PROC|Procedures|T061|Therapeutic or Preventive Procedure	2019	0	
0 9% saline	C0036082	Saline Solution	CHEM|Chemicals & Drugs|T197|Inorganic Chemical%CHEM|Chemicals & Drugs|T121|Pharmacologic Substance	2019	0	
mindfulness based stress reduction	C3542996	Mindfulness	PHYS|Physiology|T041|Mental Process	2019	0	
tai chi	C0376403	Tai Ji	ACTI|Activities & Behaviors|T056|Daily or Recreational Activity	2019	0	
routine care	C0511425	Follow usual routine of care	PROC|Procedures|T058|Health Care Activity	20221202	0	
standard	0	0	0	20221202	0	
emtricitabine	C0909839	emtricitabine	CHEM|Chemicals & Drugs|T114|Nucleic Acid, Nucleoside, or Nucleotide%CHEM|Chemicals & Drugs|T121|Pharmacologic Substance	20221202	0	
pain neuroscience education	C1276796	Pain management education	PROC|Procedures|T065|Educational Activity	20221202	0	C3266592 does not exist in 2022AA. Change to C1276796(Pain management education)
rest	0	0	0	20221202	0	
pain education	C1276796	Pain management education	PROC|Procedures|T065|Educational Activity	20221202	0	
patient decision aid	C0086104	Decision Aids	CONC|Concepts & Ideas|T170|Intellectual Product	20221202	0	
maintenance	0	0	0	20221202	0	
mva-bn-filo	C2346921	MVA-BN-PRO	CHEM|Chemicals & Drugs|T121|Pharmacologic Substance	20221202	0	
crt-d	C1736558	Cardiac Resynchronization Therapy Defibrillator (CRT-D) Systems	DEVI|Devices|T074|Medical Device	20221202	0	
alvac(2)120(b,mn)gnp (vcp1452)	0	0	0	20221202	0	
ends (vaporizer/e-cig) and smoking cessation counseling	C0085134	Cessation of smoking	ACTI|Activities & Behaviors|T055|Individual Behavior	20221202	0	
arm 1	0	0	0	20221202	0	
tenofovir/emtricitabine	C4059167	emtricitabine / tenofovir alafenamide	CHEM|Chemicals & Drugs|T121|Pharmacologic Substance	20221202	0	
dvs-233 sr	0	0	0	20221202	0	
cart-19	C3640939	tisagenlecleucel	ANAT|Anatomy|T025|Cell	20221202	0	
open	0	0	0	20221202	0	
health enhancement (hep)	0	0	0	20221202	0	
invasive coronary angiography	C0085532	Coronary angiography	PROC|Procedures|T060|Diagnostic Procedure	20221202	0	
emtricitabine (ftc)	C0909839	emtricitabine	CHEM|Chemicals & Drugs|T114|Nucleic Acid, Nucleoside, or Nucleotide%CHEM|Chemicals & Drugs|T121|Pharmacologic Substance	20221202	0	
tetrahydrobiopterin	C0048897	sapropterin	CHEM|Chemicals & Drugs|T116|Amino Acid, Peptide, or Protein%CHEM|Chemicals & Drugs|T123|Biologically Active Substance	20221202	0	C4281712 was retired as of the 2021AA version of the UMLS. It was merged into C0048897(sapropterin )
central venous catheter	C0398275	Central venous cannula insertion	PROC|Procedures|T061|Therapeutic or Preventive Procedure	20240328	0	
treatment as usual	C3538994	Treatment Epoch	PROC|Procedures|T062|Research Activity	20240328	0	
treatment as usual (tau)	C3538994	Treatment Epoch	PROC|Procedures|T062|Research Activity	20240328	0	
treatment	C3538994	Treatment Epoch	PROC|Procedures|T062|Research Activity	20240328	0	
treatment b	C3538994	Treatment Epoch	PROC|Procedures|T062|Research Activity	20240328	0	
